parcel_number,address,latitude,longitude,property_class,historic_district,scraped
16062290240000,901 N ELMWOOD AVE,41.90200184,-87.78708825,206,,false
16062240240000,901 N EUCLID AVE,41.90189998,-87.79404239,206,,false
16051210400000,901 N HARVEY AVE,41.90202449,-87.78302193,203,,false
16051240340000,901 N HAYES AVE,41.90209355,-87.77931245,203,,false
16051260360000,901 N HUMPHREY AVE,41.90211339,-87.77688392,204,,false
16062250240000,901 N LINDEN AVE,41.90192892,-87.792721,205,,false
16051230340000,901 N LOMBARD AVE,41.90208101,-87.78056008,203,,false
16061200230000,901 N MARION ST,41.90172398,-87.80430903,203,,false
16061260240000,901 N OAK PARK AVE,41.90187985,-87.79523081,206,,false
16051250340000,901 N TAYLOR AVE,41.902117,-87.77810656,203,,false
16183050150000,901 S KENILWORTH AVE,41.87217509,-87.79689137,206,,false
16183020070000,901 WENONAH AVE,41.87220679,-87.80090772,205,,false
16051270190000,902 N HUMPHREY AVE,41.90220537,-87.77631624,202,,false
16051210190000,902 N RIDGELAND AVE,41.90209142,-87.78380899,203,,false
16173230230000,902 S AUSTIN BLVD,41.86895977,-87.77447569,205,,false
16183060010000,902 S KENILWORTH AVE,41.87212215,-87.79632175,203,,false
16183030020000,902 WENONAH AVE,41.87213092,-87.8003756,203,,false
16062280230000,903 FAIR OAKS AVE,41.90207619,-87.78876492,206,,false
16061250240000,903 N GROVE AVE,41.90184573,-87.79670785,204,,false
16051210390000,903 N HARVEY AVE,41.90210751,-87.78302863,203,,false
16051260350000,903 N HUMPHREY AVE,41.9021963,-87.77686838,202,,false
16183050160000,903 S KENILWORTH AVE,41.87210123,-87.796883,205,,false
16061230100000,904 FOREST AVE,41.90189363,-87.80064036,205,,false
16051230160000,904 MAPLETON AVE,41.90218375,-87.78121607,203,,false
16062280300000,904 N EAST AVE,41.90207193,-87.78966965,205,,false
16051220160000,904 N HARVEY AVE,41.90216199,-87.78244586,203,,false
16051250160000,904 N HAYES AVE,41.90221545,-87.7787969,202,,false
16061250110000,904 N KENILWORTH AVE,41.90198028,-87.79750701,206,,false
16051240160000,904 N LOMBARD AVE,41.90218875,-87.77995678,203,,false
16062240120000,904 N OAK PARK AVE,41.90190975,-87.79452875,206,,false
16051210180000,904 N RIDGELAND AVE,41.90217993,-87.78380823,203,,false
16051260160000,904 N TAYLOR AVE,41.90222824,-87.77752858,203,,false
16183060020000,904 S KENILWORTH AVE,41.87203824,-87.79631796,205,,false
16183030030000,904 WENONAH AVE,41.87204202,-87.800366,203,,false
16051220330000,905 MAPLETON AVE,41.90217137,-87.78175759,203,,false
16051210380000,905 N HARVEY AVE,41.90220708,-87.78302777,206,,false
16051240330000,905 N HAYES AVE,41.90219866,-87.77931154,202,,false
16051260340000,905 N HUMPHREY AVE,41.90228481,-87.77686761,203,,false
16051230330000,905 N LOMBARD AVE,41.90218048,-87.78053699,203,,false
16061200220000,905 N MARION ST,41.90185418,-87.80430244,205,,false
16051250330000,905 N TAYLOR AVE,41.90223232,-87.77811157,202,,false
16183050170000,905 S KENILWORTH AVE,41.87200056,-87.79688384,203,,false
16183020090000,905 WENONAH AVE,41.87209083,-87.80089316,205,,false
16062270110000,906 COLUMBIAN AVE,41.90208578,-87.79086453,206,,false
16062290110000,906 FAIR OAKS AVE,41.90216078,-87.78801053,206,,false
16051230150000,906 MAPLETON AVE,41.90227782,-87.78122267,203,,false
16061260110000,906 N GROVE AVE,41.90198657,-87.79606678,203,,false
16051220150000,906 N HARVEY AVE,41.9022671,-87.78244496,203,,false
16051250150000,906 N HAYES AVE,41.90231572,-87.77877858,203,,false
16051270180000,906 N HUMPHREY AVE,41.90228282,-87.77631557,203,,false
16051240150000,906 N LOMBARD AVE,41.90228847,-87.77998555,203,,false
16061210110000,906 N MARION ST,41.90184969,-87.80366475,205,,false
16051260150000,906 N TAYLOR AVE,41.90232995,-87.77753817,203,,false
16173230240000,906 S AUSTIN BLVD,41.86884596,-87.77452644,205,,false
16183050020000,906 S CLINTON AVE,41.87206035,-87.797648,205,,false
16173020380000,906 S HIGHLAND AVE,41.8723523,-87.78151009,203,,false
16183020020000,906 WISCONSIN AVE,41.87202539,-87.80177895,205,,false
16061220250000,907 FOREST AVE,41.90192046,-87.80131296,206,,false
16051220320000,907 MAPLETON AVE,41.90227647,-87.78175668,205,,false
16062270230000,907 N EAST AVE,41.90205582,-87.79030377,206,,false
16062290230000,907 N ELMWOOD AVE,41.90214014,-87.78708707,206,,false
16062240230000,907 N EUCLID AVE,41.90207115,-87.79397427,205,,false
16061250230000,907 N GROVE AVE,41.90199001,-87.79672888,204,,false
16051240320000,907 N HAYES AVE,41.90230377,-87.77931063,205,,false
16051230320000,907 N LOMBARD AVE,41.90229112,-87.78053604,205,,false
16061260230000,907 N OAK PARK AVE,41.90199599,-87.79522242,205,,false
16051250320000,907 N TAYLOR AVE,41.90234174,-87.77810014,203,,false
16183050180000,907 S KENILWORTH AVE,41.87192674,-87.79688446,205,,false
16073040340000,907 SOUTH BLVD,41.88661724,-87.79761597,295,Ridgeland - Oak Park,false
16062270100000,908 COLUMBIAN AVE,41.90221309,-87.79087827,205,,false
16061230140000,908 FOREST AVE,41.90200903,-87.80065657,206,,false
16062250280000,908 N EUCLID AVE,41.9020828,-87.7933369,205,,false
16051270170000,908 N HUMPHREY AVE,41.90237686,-87.77631475,203,,false
16061250100000,908 N KENILWORTH AVE,41.90210762,-87.79752818,205,,false
16062260110000,908 N LINDEN AVE,41.90208653,-87.79212161,206,,false
16062240110000,908 N OAK PARK AVE,41.90205362,-87.79453495,206,,false
16051210170000,908 N RIDGELAND AVE,41.90227404,-87.78382224,206,,false
16183050030000,908 S CLINTON AVE,41.87199168,-87.79768008,205,,false
16173020030000,908 S HIGHLAND AVE,41.87227665,-87.78151074,203,,false
16183060030000,908 S KENILWORTH AVE,41.87196103,-87.79630962,203,,false
16183030040000,908 WENONAH AVE,41.87194933,-87.80037194,203,,false
16183020030000,908 WISCONSIN AVE,41.87193654,-87.80177968,205,,false
16061210240000,909 BELLEFORTE AVE,41.90195765,-87.80284405,205,,false
16062260220000,909 COLUMBIAN AVE,41.90216115,-87.79152339,206,,false
16062280220000,909 FAIR OAKS AVE,41.90219215,-87.78871948,206,,false
16051210370000,909 N HARVEY AVE,41.90229006,-87.78302706,204,,false
16051260330000,909 N HUMPHREY AVE,41.90236779,-87.77686689,203,,false
16062250230000,909 N LINDEN AVE,41.90210041,-87.79271955,205,,false
16061200210000,909 N MARION ST,41.90195666,-87.80429816,206,,false
16183020100000,909 WENONAH AVE,41.87197085,-87.8009085,205,,false
16061220130000,910 BELLEFORTE AVE,41.90197758,-87.80216558,206,,false
16062290100000,910 FAIR OAKS AVE,41.90229908,-87.78800935,204,,false
16051230140000,910 MAPLETON AVE,41.90238293,-87.78122176,203,,false
16062280310000,910 N EAST AVE,41.90222238,-87.78956043,206,,false
16061260100000,910 N GROVE AVE,41.90214658,-87.79597652,203,,false
16051220140000,910 N HARVEY AVE,41.90236667,-87.7824441,203,,false
16051250140000,910 N HAYES AVE,41.90242005,-87.77879164,204,,false
16051270160000,910 N HUMPHREY AVE,41.90245431,-87.77631408,202,,false
16051240140000,910 N LOMBARD AVE,41.90239907,-87.77997719,203,,false
16061210100000,910 N MARION ST,41.90199572,-87.80365668,205,,false
16051210160000,910 N RIDGELAND AVE,41.90236255,-87.78382148,203,,false
16051260140000,910 N TAYLOR AVE,41.90243159,-87.7775338,202,,false
16173230250000,910 S AUSTIN BLVD,41.86873798,-87.77453461,203,,false
16183050040000,910 S CLINTON AVE,41.87191023,-87.79765871,203,,false
16173070070000,910 S HUMPHREY AVE,41.87226115,-87.77533081,205,,false
16183060040000,910 S KENILWORTH AVE,41.87188387,-87.79631476,205,,false
16071030130000,911 CHICAGO AVE,41.89413935,-87.7983518,205,Frank Lloyd Wright,false
16062280210000,911 FAIR OAKS AVE,41.90233041,-87.78871089,205,,false
16061220240000,911 FOREST AVE,41.90203747,-87.80126513,206,,false
16051220310000,911 MAPLETON AVE,41.90237605,-87.78175582,202,,false
16062270220000,911 N EAST AVE,41.90221366,-87.79031725,205,,false
16062290250000,911 N ELMWOOD AVE,41.9022729,-87.78708594,206,,false
16062240220000,911 N EUCLID AVE,41.90220392,-87.79397315,205,,false
16061250220000,911 N GROVE AVE,41.90214463,-87.7966683,206,,false
16051210360000,911 N HARVEY AVE,41.90238963,-87.78302621,203,,false
16051240310000,911 N HAYES AVE,41.90240891,-87.77931713,203,,false
16051260320000,911 N HUMPHREY AVE,41.9024563,-87.77686612,205,,false
16051230310000,911 N LOMBARD AVE,41.90238516,-87.78053523,203,,false
16061200200000,911 N MARION ST,41.90207472,-87.80433495,278,,false
16061260220000,911 N OAK PARK AVE,41.90213415,-87.79519162,206,,false
16051250310000,911 N TAYLOR AVE,41.90243818,-87.77809757,203,,false
16183050190000,911 S KENILWORTH AVE,41.87183615,-87.79688522,204,,false
16061220120000,912 BELLEFORTE AVE,41.90211629,-87.80223652,203,,false
16183040040000,912 HOME AVE,41.87184227,-87.79894808,203,,false
16051230130000,912 MAPLETON AVE,41.90248251,-87.7812209,202,,false
16062280090000,912 N EAST AVE,41.90237283,-87.78967685,206,,false
16062250100000,912 N EUCLID AVE,41.9022211,-87.79333573,205,,false
16051270150000,912 N HUMPHREY AVE,41.90255361,-87.77632756,202,,false
16062260100000,912 N LINDEN AVE,41.9022361,-87.79216481,206,,false
16062240100000,912 N OAK PARK AVE,41.90219759,-87.79456339,205,,false
16051210150000,912 N RIDGELAND AVE,41.9024456,-87.78383559,203,,false
16051260130000,912 N TAYLOR AVE,41.90253458,-87.77753989,203,,false
16183060050000,912 S KENILWORTH AVE,41.87179663,-87.79631549,203,,false
16173040070000,912 S LOMBARD AVE,41.87219665,-87.77900561,205,,false
16173060040000,912 S LYMAN AVE,41.872227,-87.77655907,205,,false
16183010050000,912 S MAPLE AVE,41.87177338,-87.80331954,203,,false
16173050070000,912 S TAYLOR AVE,41.87222037,-87.77778249,203,,false
16063040380000,912 THOMAS ST,41.89998267,-87.79835485,205,Frank Lloyd Wright,false
16183030100000,912 WENONAH AVE,41.87182955,-87.80036776,206,,false
16183020110000,912 WISCONSIN AVE,41.87179352,-87.80176339,203,,false
16061210230000,913 BELLEFORTE AVE,41.90209082,-87.80282578,205,,false
16173010150000,913 HIGHLAND AVE,41.87214322,-87.78199662,205,,false
16183030220000,913 HOME AVE,41.87185259,-87.7995066,203,,false
16062250220000,913 N LINDEN AVE,41.90223871,-87.79271839,206,,false
16051250300000,913 N TAYLOR AVE,41.90254509,-87.77810362,202,,false
16183040170000,913 S CLINTON AVE,41.87185821,-87.79822342,203,,false
16183060200000,913 S GROVE AVE,41.87190152,-87.7955759,203,,false
16173020330000,913 S LOMBARD AVE,41.87219801,-87.77958051,205,,false
16073040060000,913 SOUTH BLVD,41.88661825,-87.79783064,206,Ridgeland - Oak Park,false
